iter 47," acc, nmi, ri = (0.71179, 0.72751, 0.00332)", loss:0.00332, n_changed_assignment:1010, time:595.003
iter 48," acc, nmi, ri = (0.71001, 0.72628, 0.00496)", loss:0.00496, n_changed_assignment:1171, time:599.253
iter 49," acc, nmi, ri = (0.71197, 0.72743, 0.00307)", loss:0.00307, n_changed_assignment:699, time:601.838
iter 50," acc, nmi, ri = (0.71196, 0.72716, 0.00277)", loss:0.00277, n_changed_assignment:627, time:604.409
iter 51," acc, nmi, ri = (0.71237, 0.72735, 0.00386)", loss:0.00386, n_changed_assignment:805, time:609.306
iter 52," acc, nmi, ri = (0.71426, 0.72842, 0.00304)", loss:0.00304, n_changed_assignment:1175, time:611.523
iter 53," acc, nmi, ri = (0.71307, 0.72903, 0.00243)", loss:0.00243, n_changed_assignment:1068, time:614.019
iter 54," acc, nmi, ri = (0.71309, 0.72862, 0.00209)", loss:0.00209, n_changed_assignment:1029, time:618.572
iter 55," acc, nmi, ri = (0.71423, 0.72872, 0.00285)", loss:0.00285, n_changed_assignment:937, time:620.918
iter 56," acc, nmi, ri = (0.71481, 0.72789, 0.00269)", loss:0.00269, n_changed_assignment:795, time:623.822
iter 57," acc, nmi, ri = (0.71287, 0.72763, 0.00218)", loss:0.00218, n_changed_assignment:988, time:626.980
iter 58," acc, nmi, ri = (0.71236, 0.72718, 0.00373)", loss:0.00373, n_changed_assignment:1070, time:629.744
iter 59," acc, nmi, ri = (0.7117, 0.72748, 0.00426)", loss:0.00426, n_changed_assignment:901, time:632.543
iter 60," acc, nmi, ri = (0.71256, 0.72736, 0.002)", loss:0.00200, n_changed_assignment:1070, time:635.991
iter 61," acc, nmi, ri = (0.71201, 0.7276, 0.00397)", loss:0.00397, n_changed_assignment:766, time:638.319
iter 62," acc, nmi, ri = (0.71336, 0.72814, 0.00316)", loss:0.00316, n_changed_assignment:710, time:641.866
iter 63," acc, nmi, ri = (0.71394, 0.72839, 0.00256)", loss:0.00256, n_changed_assignment:745, time:643.866
iter 64," acc, nmi, ri = (0.71243, 0.72846, 0.00194)", loss:0.00194, n_changed_assignment:1172, time:646.006
iter 65," acc, nmi, ri = (0.71427, 0.72864, 0.00297)", loss:0.00297, n_changed_assignment:944, time:650.069
iter 66," acc, nmi, ri = (0.71474, 0.72881, 0.00234)", loss:0.00234, n_changed_assignment:628, time:652.636
iter 67," acc, nmi, ri = (0.71444, 0.72848, 0.00315)", loss:0.00315, n_changed_assignment:1330, time:655.324
iter 68," acc, nmi, ri = (0.71437, 0.72825, 0.00187)", loss:0.00187, n_changed_assignment:948, time:657.790
iter 69," acc, nmi, ri = (0.71567, 0.72875, 0.0034)", loss:0.00340, n_changed_assignment:913, time:660.737
iter 70," acc, nmi, ri = (0.71679, 0.72901, 0.00316)", loss:0.00316, n_changed_assignment:777, time:665.036
iter 71," acc, nmi, ri = (0.71714, 0.72716, 0.00303)", loss:0.00303, n_changed_assignment:1002, time:667.598
iter 72," acc, nmi, ri = (0.71707, 0.72749, 0.00207)", loss:0.00207, n_changed_assignment:941, time:670.085
iter 73," acc, nmi, ri = (0.71783, 0.72852, 0.00482)", loss:0.00482, n_changed_assignment:969, time:672.197
iter 74," acc, nmi, ri = (0.71756, 0.72927, 0.00212)", loss:0.00212, n_changed_assignment:732, time:674.320
iter 75," acc, nmi, ri = (0.71801, 0.72892, 0.00198)", loss:0.00198, n_changed_assignment:891, time:676.420
iter 76," acc, nmi, ri = (0.71839, 0.72911, 0.00162)", loss:0.00162, n_changed_assignment:882, time:678.541
iter 77," acc, nmi, ri = (0.71991, 0.72931, 0.00268)", loss:0.00268, n_changed_assignment:1091, time:681.102
iter 78," acc, nmi, ri = (0.72186, 0.72919, 0.00533)", loss:0.00533, n_changed_assignment:1054, time:683.615
iter 79," acc, nmi, ri = (0.72351, 0.72999, 0.00167)", loss:0.00167, n_changed_assignment:987, time:686.196
iter 80," acc, nmi, ri = (0.72271, 0.72951, 0.0014)", loss:0.00140, n_changed_assignment:602, time:690.444
iter 81," acc, nmi, ri = (0.72151, 0.72909, 0.00173)", loss:0.00173, n_changed_assignment:845, time:692.724
iter 82," acc, nmi, ri = (0.7187, 0.72884, 0.00072)", loss:0.00072, n_changed_assignment:997, time:694.804
iter 83," acc, nmi, ri = (0.71844, 0.72839, 0.00219)", loss:0.00219, n_changed_assignment:586, time:696.831
iter 84," acc, nmi, ri = (0.71916, 0.72904, 0.00178)", loss:0.00178, n_changed_assignment:615, time:698.885
iter 85," acc, nmi, ri = (0.68903, 0.75392, 0.00219)", loss:0.00219, n_changed_assignment:9458, time:701.225
iter 86," acc, nmi, ri = (0.68923, 0.75382, 0.00172)", loss:0.00172, n_changed_assignment:256, time:704.206
